AgeRange,Gender,EducationLevel,JobTitle,Industry,OrganizationSize,RegionCountry,RoleInSepLicensing,FamiliarityWithIoT,InvolvedInSepDispute,ParticipationInStandardSetting,IoTDeviceSystemUsage,OrganizationHoldingOfSEPs
20-30,Female,PhD,Researcher,Technology,SME,Asia,Technology Development,3,Yes,No,No,No
20-30,Other,Bachelor,Researcher,Telecommunications,Large Corporation,Africa,Policy-making,5,Yes,Yes,No,Yes
>60,Other,PhD,IT Manager,Technology,Large Corporation,North America,Technology Development,1,No,Yes,Yes,Yes
31-40,Male,Bachelor,CTO,Telecommunications,Large Corporation,Europe,Policy-making,3,Yes,Yes,No,Yes
>60,Female,High School,Researcher,Consumer Goods,Large Corporation,South America,Licensing,3,No,No,Yes,No
51-60,Other,PhD,Project Manager,Manufacturing,Large Corporation,Oceania,Licensing,4,Yes,No,Yes,Yes
51-60,Other,Master,Project Manager,Technology,SME,South America,Policy-making,5,No,No,No,Yes
51-60,Other,PhD,Policy Analyst,Manufacturing,SME,North America,Licensing,2,Yes,Yes,Yes,No
20-30,Male,Master,Software Engineer,Telecommunications,Large Corporation,Africa,Technology Development,1,No,No,Yes,Yes
<20,Female,PhD,IT Manager,Manufacturing,SME,North America,Licensing,2,Yes,Yes,Yes,No
31-40,Male,Master,Project Manager,Manufacturing,Large Corporation,Asia,Technology Development,5,Yes,Yes,No,Yes
31-40,Male,PhD,IT Manager,Telecommunications,Large Corporation,Oceania,Policy-making,5,No,Yes,No,Yes
20-30,Other,PhD,Policy Analyst,Consumer Goods,Large Corporation,Europe,Licensing,3,No,Yes,Yes,Yes
41-50,Male,Master,Software Engineer,Consumer Goods,Large Corporation,Asia,Licensing,3,No,No,Yes,Yes
>60,Male,PhD,Policy Analyst,Consumer Goods,Large Corporation,Africa,Policy-making,4,Yes,No,Yes,No
20-30,Female,PhD,Software Engineer,Consumer Goods,Large Corporation,North America,Licensing,2,No,Yes,No,Yes
<20,Female,Master,IT Manager,Healthcare,SME,South America,Technology Development,4,No,Yes,No,Yes
>60,Female,Bachelor,IT Manager,Manufacturing,Large Corporation,North America,Licensing,3,No,Yes,No,Yes
51-60,Male,High School,IT Manager,Healthcare,Large Corporation,Africa,Technology Development,1,No,Yes,No,No
<20,Female,Bachelor,Researcher,Manufacturing,Large Corporation,Oceania,Technology Development,3,Yes,Yes,No,Yes
